Country_Code,Count,Latitude,Longitude
PRT,48585,39.5,-8.0
GBR,12129,54.0,-2.0
FRA,10415,46.0,2.0
ESP,8568,40.0,-4.0
DEU,7287,51.0,9.0
ITA,3766,42.83333333,12.83333333
IRL,3375,53.0,-8.0
BEL,2342,50.83333333,4.0
BRA,2224,-10.0,-55.0
NLD,2104,52.5,5.75
USA,2097,38.0,-97.0
CHE,1730,47.0,8.0
CN,1279,35.0,105.0
AUT,1263,47.33333333,13.33333333
SWE,1024,62.0,15.0
CHN,999,35.0,105.0
POL,919,52.0,20.0
ISR,669,31.5,34.75
RUS,632,60.0,100.0
NOR,607,62.0,10.0
ROU,500,46.0,25.0
FIN,447,64.0,26.0
DNK,435,56.0,10.0
AUS,426,-27.0,133.0
AGO,362,-12.5,18.5
LUX,287,49.75,6.16666666
MAR,259,32.0,-5.0
TUR,248,39.0,35.0
HUN,230,47.0,20.0
ARG,214,-34.0,-64.0
JPN,197,36.0,138.0
CZE,171,49.8,15.5
IND,152,20.0,77.0
KOR,133,37.5,127.5
GRC,128,39.0,22.0
DZA,103,28.0,3.0
SRB,101,44.1305021,16.4284181
HRV,100,45.16666666,15.5
MEX,85,23.0,-102.0
IRN,83,32.0,53.0
EST,83,59.0,26.0
LTU,81,56.0,24.0
ZAF,80,-29.0,24.0
BGR,75,43.0,25.0
NZL,74,-41.0,174.0
COL,71,4.0,-72.0
UKR,68,49.0,32.0
MOZ,67,-18.25,35.0
CHL,65,-30.0,-71.0
SVK,65,48.66666666,19.5
THA,59,15.0,100.0
SVN,57,46.11666666,14.81666666
ISL,57,65.0,-18.0
LVA,55,57.0,25.0
CYP,51,35.0,33.0
TWN,51,23.7,121.0
ARE,51,24.0,54.0
SAU,48,25.0,45.0
PHL,40,13.0,122.0
SGP,39,1.36666666,103.8
TUN,39,34.0,9.0
IDN,35,-5.0,120.0
NGA,34,10.0,8.0
URY,32,-33.0,-56.0
EGY,32,27.0,30.0
LBN,31,33.83333333,35.83333333
HKG,29,22.25,114.16666666
PER,29,-10.0,-76.0
MYS,28,2.5,112.5
ECU,27,-2.0,-77.5
VEN,26,7.0,-66.0
BLR,26,53.0,28.0
CPV,24,15.1,-23.6
GEO,22,42.0,43.5
JOR,21,31.0,36.0
CRI,19,10.0,-84.0
KAZ,19,48.0,68.0
MLT,18,35.83333333,14.58333333
OMN,18,21.0,57.0
GIB,18,36.13333333,-5.35
AZE,17,40.5,47.5
MAC,16,22.2,113.6
KWT,16,29.5,45.75
QAT,15,25.5,51.25
DOM,14,19.0,-70.66666666
IRQ,14,33.0,44.0
PAK,14,30.0,70.0
BIH,13,44.0,18.0
ALB,12,41.0,20.0
MDV,12,3.25,73.0
BGD,12,24.0,90.0
PRI,12,18.25,-66.5
SEN,11,14.0,-14.0
BOL,10,-17.0,-65.0
CMR,10,6.0,12.0
MKD,10,41.6,21.7
PAN,9,9.0,-80.0
TJK,9,39.0,71.0
GNB,9,12.0,-15.0
ARM,8,40.0,45.0
JEY,8,49.25,-2.16666666
VNM,8,16.0,108.0
LBY,8,25.0,17.0
CUB,8,21.5,-80.0
AND,7,42.5,1.5
LKA,7,7.0,81.0
MUS,7,-20.28333333,57.55
CIV,6,7.5,-5.5
JAM,6,18.25,-77.5
KEN,6,1.0,38.0
SUR,5,4.0,-56.0
BHR,5,26.0,50.55
TZA,5,-6.0,35.0
MNE,5,42.5,19.3
FRO,5,62.0,-7.0
CAF,5,7.0,21.0
GHA,4,8.0,-2.0
UZB,4,41.0,64.0
ZWE,4,-20.0,30.0
PRY,4,-23.0,-58.0
BRB,4,13.16666666,-59.53333333
GTM,4,15.5,-90.25
MCO,4,43.73333333,7.4
GAB,4,-1.0,11.75
TMP,3,-8.8,126.0
BEN,3,9.5,2.25
ETH,3,8.0,38.0
GGY,3,49.46666666,-2.58333333
SYR,3,35.0,38.0
LIE,3,47.26666666,9.53333333
LAO,2,18.0,105.0
SLV,2,13.83333333,-88.91666666
ATA,2,-82.8,135.0
SYC,2,-4.58333333,55.66666666
COM,2,-12.16666666,44.25
ZMB,2,-15.0,30.0
UGA,2,1.0,32.0
KNA,2,17.33333333,-62.75
TGO,2,8.0,1.16666666
MYT,2,-12.83333333,45.16666666
RWA,2,-2.0,30.0
MWI,2,-13.5,34.0
STP,2,1.0,7.0
KHM,2,13.0,105.0
IMN,2,54.25,-4.5
GLP,2,16.25,-61.583333
ABW,2,12.5,-69.96666666
BWA,1,-22.0,24.0
SMR,1,43.76666666,12.41666666
CYM,1,19.5,-80.5
PLW,1,7.5,134.5
FJI,1,-18.0,175.0
BDI,1,-3.5,30.0
VGB,1,18.5,-64.5
NIC,1,13.0,-85.0
HND,1,15.0,-86.5
DJI,1,11.5,43.0
BHS,1,25.0,-76.0
NPL,1,28.0,84.0
MDG,1,-20.0,47.0
UMI,1,19.3,166.6
MLI,1,17.0,-4.0
BFA,1,13.0,-2.0
NAM,1,-22.0,17.0
MMR,1,21.9,95.9
PYF,1,-15.0,-140.0
DMA,1,15.41666666,-61.33333333
LCA,1,13.88333333,-60.96666666
AIA,1,18.25,-63.16666666
GUY,1,5.0,-59.0
ASM,1,-14.33333333,-170.0
NCL,1,-21.5,165.5
MRT,1,20.0,-12.0
KIR,1,1.41666666,173.0
SDN,1,15.0,30.0
ATF,1,-49.3,69.3
SLE,1,8.5,-11.5
